Time,Value,MEASURE,Description
2013,12.1,ERP_6,Persons - 0-14 years (%)
2014,12,ERP_6,Persons - 0-14 years (%)
2015,11.8,ERP_6,Persons - 0-14 years (%)
2016,11.4,ERP_6,Persons - 0-14 years (%)
2017,10.4,ERP_6,Persons - 0-14 years (%)
2013,27.5,ERP_7,Persons - 15-24 years (%)
2014,28.4,ERP_7,Persons - 15-24 years (%)
2015,29.4,ERP_7,Persons - 15-24 years (%)
2016,30.4,ERP_7,Persons - 15-24 years (%)
2017,31.8,ERP_7,Persons - 15-24 years (%)
2013,19.9,ERP_8,Persons - 25-34 years (%)
2014,19.9,ERP_8,Persons - 25-34 years (%)
2015,20,ERP_8,Persons - 25-34 years (%)
2016,20.3,ERP_8,Persons - 25-34 years (%)
2017,22.1,ERP_8,Persons - 25-34 years (%)
2013,11.5,ERP_9,Persons - 35-44 years (%)
2014,11.5,ERP_9,Persons - 35-44 years (%)
2015,11.1,ERP_9,Persons - 35-44 years (%)
2016,10.8,ERP_9,Persons - 35-44 years (%)
2017,9.9,ERP_9,Persons - 35-44 years (%)
2013,10.1,ERP_10,Persons - 45-54 years (%)
2014,9.9,ERP_10,Persons - 45-54 years (%)
2015,9.8,ERP_10,Persons - 45-54 years (%)
2016,9.5,ERP_10,Persons - 45-54 years (%)
2017,8.8,ERP_10,Persons - 45-54 years (%)
2013,7.6,ERP_11,Persons - 55-64 years (%)
2014,7.4,ERP_11,Persons - 55-64 years (%)
2015,7.4,ERP_11,Persons - 55-64 years (%)
2016,7.3,ERP_11,Persons - 55-64 years (%)
2017,7.2,ERP_11,Persons - 55-64 years (%)
2013,5.7,ERP_12,Persons - 65-74 years (%)
2014,5.5,ERP_12,Persons - 65-74 years (%)
2015,5.3,ERP_12,Persons - 65-74 years (%)
2016,5.2,ERP_12,Persons - 65-74 years (%)
2017,4.9,ERP_12,Persons - 65-74 years (%)
2013,4.1,ERP_13,Persons - 75-84 years (%)
2014,3.9,ERP_13,Persons - 75-84 years (%)
2015,3.8,ERP_13,Persons - 75-84 years (%)
2016,3.6,ERP_13,Persons - 75-84 years (%)
2017,3.5,ERP_13,Persons - 75-84 years (%)
2013,1.4,ERP_14,Persons - 85 years and over (%)
2014,1.5,ERP_14,Persons - 85 years and over (%)
2015,1.5,ERP_14,Persons - 85 years and over (%)
2016,1.5,ERP_14,Persons - 85 years and over (%)
2017,1.4,ERP_14,Persons - 85 years and over (%)
2013,408,ERP_M_2,Males - 0-4 years (no.)
2014,385,ERP_M_2,Males - 0-4 years (no.)
2015,361,ERP_M_2,Males - 0-4 years (no.)
2016,325,ERP_M_2,Males - 0-4 years (no.)
2017,295,ERP_M_2,Males - 0-4 years (no.)
2013,345,ERP_M_3,Males - 5-9 years (no.)
2014,363,ERP_M_3,Males - 5-9 years (no.)
2015,367,ERP_M_3,Males - 5-9 years (no.)
2016,379,ERP_M_3,Males - 5-9 years (no.)
2017,372,ERP_M_3,Males - 5-9 years (no.)
2013,267,ERP_M_4,Males - 10-14 years (no.)
2014,278,ERP_M_4,Males - 10-14 years (no.)
2015,286,ERP_M_4,Males - 10-14 years (no.)
2016,278,ERP_M_4,Males - 10-14 years (no.)
2017,259,ERP_M_4,Males - 10-14 years (no.)
2013,570,ERP_M_5,Males - 15-19 years (no.)
2014,609,ERP_M_5,Males - 15-19 years (no.)
2015,640,ERP_M_5,Males - 15-19 years (no.)
2016,669,ERP_M_5,Males - 15-19 years (no.)
2017,651,ERP_M_5,Males - 15-19 years (no.)
