Time,Value,MEASURE,Description
2013,16.2,ERP_6,Persons - 0-14 years (%)
2014,15.8,ERP_6,Persons - 0-14 years (%)
2015,15.5,ERP_6,Persons - 0-14 years (%)
2016,15.2,ERP_6,Persons - 0-14 years (%)
2017,15,ERP_6,Persons - 0-14 years (%)
2013,15,ERP_7,Persons - 15-24 years (%)
2014,15.3,ERP_7,Persons - 15-24 years (%)
2015,15.3,ERP_7,Persons - 15-24 years (%)
2016,15.3,ERP_7,Persons - 15-24 years (%)
2017,15.5,ERP_7,Persons - 15-24 years (%)
2013,19.6,ERP_8,Persons - 25-34 years (%)
2014,20.5,ERP_8,Persons - 25-34 years (%)
2015,21.7,ERP_8,Persons - 25-34 years (%)
2016,22.8,ERP_8,Persons - 25-34 years (%)
2017,23.2,ERP_8,Persons - 25-34 years (%)
2013,14.9,ERP_9,Persons - 35-44 years (%)
2014,14.7,ERP_9,Persons - 35-44 years (%)
2015,14.7,ERP_9,Persons - 35-44 years (%)
2016,14.9,ERP_9,Persons - 35-44 years (%)
2017,15,ERP_9,Persons - 35-44 years (%)
2013,11.7,ERP_10,Persons - 45-54 years (%)
2014,11.5,ERP_10,Persons - 45-54 years (%)
2015,11.3,ERP_10,Persons - 45-54 years (%)
2016,11.2,ERP_10,Persons - 45-54 years (%)
2017,10.8,ERP_10,Persons - 45-54 years (%)
2013,9.5,ERP_11,Persons - 55-64 years (%)
2014,9.3,ERP_11,Persons - 55-64 years (%)
2015,9.1,ERP_11,Persons - 55-64 years (%)
2016,8.9,ERP_11,Persons - 55-64 years (%)
2017,8.9,ERP_11,Persons - 55-64 years (%)
2013,7.2,ERP_12,Persons - 65-74 years (%)
2014,6.9,ERP_12,Persons - 65-74 years (%)
2015,6.6,ERP_12,Persons - 65-74 years (%)
2016,6.3,ERP_12,Persons - 65-74 years (%)
2017,6.1,ERP_12,Persons - 65-74 years (%)
2013,4.7,ERP_13,Persons - 75-84 years (%)
2014,4.6,ERP_13,Persons - 75-84 years (%)
2015,4.4,ERP_13,Persons - 75-84 years (%)
2016,4.2,ERP_13,Persons - 75-84 years (%)
2017,4.1,ERP_13,Persons - 75-84 years (%)
2013,1.3,ERP_14,Persons - 85 years and over (%)
2014,1.3,ERP_14,Persons - 85 years and over (%)
2015,1.3,ERP_14,Persons - 85 years and over (%)
2016,1.3,ERP_14,Persons - 85 years and over (%)
2017,1.4,ERP_14,Persons - 85 years and over (%)
2013,717,ERP_M_2,Males - 0-4 years (no.)
2014,735,ERP_M_2,Males - 0-4 years (no.)
2015,766,ERP_M_2,Males - 0-4 years (no.)
2016,794,ERP_M_2,Males - 0-4 years (no.)
2017,833,ERP_M_2,Males - 0-4 years (no.)
2013,611,ERP_M_3,Males - 5-9 years (no.)
2014,600,ERP_M_3,Males - 5-9 years (no.)
2015,624,ERP_M_3,Males - 5-9 years (no.)
2016,654,ERP_M_3,Males - 5-9 years (no.)
2017,679,ERP_M_3,Males - 5-9 years (no.)
2013,488,ERP_M_4,Males - 10-14 years (no.)
2014,518,ERP_M_4,Males - 10-14 years (no.)
2015,526,ERP_M_4,Males - 10-14 years (no.)
2016,558,ERP_M_4,Males - 10-14 years (no.)
2017,576,ERP_M_4,Males - 10-14 years (no.)
2013,702,ERP_M_5,Males - 15-19 years (no.)
2014,728,ERP_M_5,Males - 15-19 years (no.)
2015,758,ERP_M_5,Males - 15-19 years (no.)
2016,763,ERP_M_5,Males - 15-19 years (no.)
2017,807,ERP_M_5,Males - 15-19 years (no.)
2013,962,ERP_M_6,Males - 20-24 years (no.)
2014,1037,ERP_M_6,Males - 20-24 years (no.)
2015,1096,ERP_M_6,Males - 20-24 years (no.)
2016,1232,ERP_M_6,Males - 20-24 years (no.)
2017,1334,ERP_M_6,Males - 20-24 years (no.)
2013,1161,ERP_M_7,Males - 25-29 years (no.)
2014,1298,ERP_M_7,Males - 25-29 years (no.)
2015,1443,ERP_M_7,Males - 25-29 years (no.)
2016,1601,ERP_M_7,Males - 25-29 years (no.)
2017,1736,ERP_M_7,Males - 25-29 years (no.)
2013,1001,ERP_M_8,Males - 30-34 years (no.)
2014,1076,ERP_M_8,Males - 30-34 years (no.)
2015,1196,ERP_M_8,Males - 30-34 years (no.)
2016,1391,ERP_M_8,Males - 30-34 years (no.)
2017,1520,ERP_M_8,Males - 30-34 years (no.)
2013,877,ERP_M_9,Males - 35-39 years (no.)
2014,902,ERP_M_9,Males - 35-39 years (no.)
2015,961,ERP_M_9,Males - 35-39 years (no.)
2016,1098,ERP_M_9,Males - 35-39 years (no.)
2017,1197,ERP_M_9,Males - 35-39 years (no.)
2013,822,ERP_M_10,Males - 40-44 years (no.)
2014,825,ERP_M_10,Males - 40-44 years (no.)
2015,844,ERP_M_10,Males - 40-44 years (no.)
2016,878,ERP_M_10,Males - 40-44 years (no.)
2017,887,ERP_M_10,Males - 40-44 years (no.)
2013,660,ERP_M_11,Males - 45-49 years (no.)
2014,692,ERP_M_11,Males - 45-49 years (no.)
2015,731,ERP_M_11,Males - 45-49 years (no.)
2016,782,ERP_M_11,Males - 45-49 years (no.)
2017,839,ERP_M_11,Males - 45-49 years (no.)
2013,663,ERP_M_12,Males - 50-54 years (no.)
2014,660,ERP_M_12,Males - 50-54 years (no.)
2015,671,ERP_M_12,Males - 50-54 years (no.)
2016,710,ERP_M_12,Males - 50-54 years (no.)
2017,691,ERP_M_12,Males - 50-54 years (no.)
2013,565,ERP_M_13,Males - 55-59 years (no.)
2014,586,ERP_M_13,Males - 55-59 years (no.)
2015,614,ERP_M_13,Males - 55-59 years (no.)
2016,629,ERP_M_13,Males - 55-59 years (no.)
2017,667,ERP_M_13,Males - 55-59 years (no.)
2013,454,ERP_M_14,Males - 60-64 years (no.)
2014,458,ERP_M_14,Males - 60-64 years (no.)
2015,454,ERP_M_14,Males - 60-64 years (no.)
2016,491,ERP_M_14,Males - 60-64 years (no.)
2017,527,ERP_M_14,Males - 60-64 years (no.)
2013,417,ERP_M_15,Males - 65-69 years (no.)
2014,413,ERP_M_15,Males - 65-69 years (no.)
2015,424,ERP_M_15,Males - 65-69 years (no.)
2016,425,ERP_M_15,Males - 65-69 years (no.)
2017,440,ERP_M_15,Males - 65-69 years (no.)
2013,323,ERP_M_16,Males - 70-74 years (no.)
2014,322,ERP_M_16,Males - 70-74 years (no.)
2015,321,ERP_M_16,Males - 70-74 years (no.)
2016,323,ERP_M_16,Males - 70-74 years (no.)
2017,323,ERP_M_16,Males - 70-74 years (no.)
2013,282,ERP_M_17,Males - 75-79 years (no.)
2014,274,ERP_M_17,Males - 75-79 years (no.)
2015,278,ERP_M_17,Males - 75-79 years (no.)
