Time,Value,MEASURE,Description
2013,14.6,ERP_6,Persons - 0-14 years (%)
2014,14.5,ERP_6,Persons - 0-14 years (%)
2015,14.5,ERP_6,Persons - 0-14 years (%)
2016,14.4,ERP_6,Persons - 0-14 years (%)
2017,14.2,ERP_6,Persons - 0-14 years (%)
2013,14.7,ERP_7,Persons - 15-24 years (%)
2014,14.7,ERP_7,Persons - 15-24 years (%)
2015,14.7,ERP_7,Persons - 15-24 years (%)
2016,14.8,ERP_7,Persons - 15-24 years (%)
2017,14.5,ERP_7,Persons - 15-24 years (%)
2013,24,ERP_8,Persons - 25-34 years (%)
2014,23.9,ERP_8,Persons - 25-34 years (%)
2015,23.9,ERP_8,Persons - 25-34 years (%)
2016,23.9,ERP_8,Persons - 25-34 years (%)
2017,24.5,ERP_8,Persons - 25-34 years (%)
2013,16.3,ERP_9,Persons - 35-44 years (%)
2014,16.2,ERP_9,Persons - 35-44 years (%)
2015,15.9,ERP_9,Persons - 35-44 years (%)
2016,15.8,ERP_9,Persons - 35-44 years (%)
2017,15.4,ERP_9,Persons - 35-44 years (%)
2013,11.2,ERP_10,Persons - 45-54 years (%)
2014,11.3,ERP_10,Persons - 45-54 years (%)
2015,11.4,ERP_10,Persons - 45-54 years (%)
2016,11.4,ERP_10,Persons - 45-54 years (%)
2017,11.5,ERP_10,Persons - 45-54 years (%)
2013,8.5,ERP_11,Persons - 55-64 years (%)
2014,8.4,ERP_11,Persons - 55-64 years (%)
2015,8.6,ERP_11,Persons - 55-64 years (%)
2016,8.6,ERP_11,Persons - 55-64 years (%)
2017,8.6,ERP_11,Persons - 55-64 years (%)
2013,5.2,ERP_12,Persons - 65-74 years (%)
2014,5.5,ERP_12,Persons - 65-74 years (%)
2015,5.7,ERP_12,Persons - 65-74 years (%)
2016,5.9,ERP_12,Persons - 65-74 years (%)
2017,5.9,ERP_12,Persons - 65-74 years (%)
2013,3.6,ERP_13,Persons - 75-84 years (%)
2014,3.3,ERP_13,Persons - 75-84 years (%)
2015,3.2,ERP_13,Persons - 75-84 years (%)
2016,3.1,ERP_13,Persons - 75-84 years (%)
2017,3.3,ERP_13,Persons - 75-84 years (%)
2013,2,ERP_14,Persons - 85 years and over (%)
2014,2.1,ERP_14,Persons - 85 years and over (%)
2015,2.1,ERP_14,Persons - 85 years and over (%)
2016,2.1,ERP_14,Persons - 85 years and over (%)
2017,2.1,ERP_14,Persons - 85 years and over (%)
2013,411,ERP_M_2,Males - 0-4 years (no.)
2014,400,ERP_M_2,Males - 0-4 years (no.)
2015,409,ERP_M_2,Males - 0-4 years (no.)
2016,409,ERP_M_2,Males - 0-4 years (no.)
2017,396,ERP_M_2,Males - 0-4 years (no.)
2013,312,ERP_M_3,Males - 5-9 years (no.)
2014,346,ERP_M_3,Males - 5-9 years (no.)
2015,345,ERP_M_3,Males - 5-9 years (no.)
2016,348,ERP_M_3,Males - 5-9 years (no.)
2017,327,ERP_M_3,Males - 5-9 years (no.)
2013,236,ERP_M_4,Males - 10-14 years (no.)
2014,242,ERP_M_4,Males - 10-14 years (no.)
2015,262,ERP_M_4,Males - 10-14 years (no.)
2016,271,ERP_M_4,Males - 10-14 years (no.)
2017,294,ERP_M_4,Males - 10-14 years (no.)
2013,255,ERP_M_5,Males - 15-19 years (no.)
2014,275,ERP_M_5,Males - 15-19 years (no.)
2015,286,ERP_M_5,Males - 15-19 years (no.)
2016,303,ERP_M_5,Males - 15-19 years (no.)
2017,300,ERP_M_5,Males - 15-19 years (no.)
2013,698,ERP_M_6,Males - 20-24 years (no.)
2014,705,ERP_M_6,Males - 20-24 years (no.)
2015,718,ERP_M_6,Males - 20-24 years (no.)
2016,728,ERP_M_6,Males - 20-24 years (no.)
2017,715,ERP_M_6,Males - 20-24 years (no.)
2013,804,ERP_M_7,Males - 25-29 years (no.)
2014,825,ERP_M_7,Males - 25-29 years (no.)
2015,835,ERP_M_7,Males - 25-29 years (no.)
2016,865,ERP_M_7,Males - 25-29 years (no.)
2017,903,ERP_M_7,Males - 25-29 years (no.)
2013,695,ERP_M_8,Males - 30-34 years (no.)
2014,712,ERP_M_8,Males - 30-34 years (no.)
2015,737,ERP_M_8,Males - 30-34 years (no.)
2016,755,ERP_M_8,Males - 30-34 years (no.)
2017,786,ERP_M_8,Males - 30-34 years (no.)
2013,533,ERP_M_9,Males - 35-39 years (no.)
2014,541,ERP_M_9,Males - 35-39 years (no.)
2015,548,ERP_M_9,Males - 35-39 years (no.)
2016,564,ERP_M_9,Males - 35-39 years (no.)
2017,611,ERP_M_9,Males - 35-39 years (no.)
2013,525,ERP_M_10,Males - 40-44 years (no.)
2014,530,ERP_M_10,Males - 40-44 years (no.)
2015,521,ERP_M_10,Males - 40-44 years (no.)
2016,513,ERP_M_10,Males - 40-44 years (no.)
2017,459,ERP_M_10,Males - 40-44 years (no.)
2013,395,ERP_M_11,Males - 45-49 years (no.)
2014,406,ERP_M_11,Males - 45-49 years (no.)
2015,432,ERP_M_11,Males - 45-49 years (no.)
2016,438,ERP_M_11,Males - 45-49 years (no.)
2017,452,ERP_M_11,Males - 45-49 years (no.)
2013,346,ERP_M_12,Males - 50-54 years (no.)
2014,364,ERP_M_12,Males - 50-54 years (no.)
2015,360,ERP_M_12,Males - 50-54 years (no.)
2016,374,ERP_M_12,Males - 50-54 years (no.)
2017,371,ERP_M_12,Males - 50-54 years (no.)
2013,314,ERP_M_13,Males - 55-59 years (no.)
2014,300,ERP_M_13,Males - 55-59 years (no.)
2015,315,ERP_M_13,Males - 55-59 years (no.)
2016,309,ERP_M_13,Males - 55-59 years (no.)
2017,318,ERP_M_13,Males - 55-59 years (no.)
2013,224,ERP_M_14,Males - 60-64 years (no.)
2014,247,ERP_M_14,Males - 60-64 years (no.)
2015,255,ERP_M_14,Males - 60-64 years (no.)
2016,262,ERP_M_14,Males - 60-64 years (no.)
2017,275,ERP_M_14,Males - 60-64 years (no.)
2013,179,ERP_M_15,Males - 65-69 years (no.)
2014,195,ERP_M_15,Males - 65-69 years (no.)
2015,204,ERP_M_15,Males - 65-69 years (no.)
2016,206,ERP_M_15,Males - 65-69 years (no.)
2017,213,ERP_M_15,Males - 65-69 years (no.)
2013,146,ERP_M_16,Males - 70-74 years (no.)
2014,155,ERP_M_16,Males - 70-74 years (no.)
2015,170,ERP_M_16,Males - 70-74 years (no.)
2016,183,ERP_M_16,Males - 70-74 years (no.)
2017,191,ERP_M_16,Males - 70-74 years (no.)
2013,83,ERP_M_17,Males - 75-79 years (no.)
2014,97,ERP_M_17,Males - 75-79 years (no.)
2015,109,ERP_M_17,Males - 75-79 years (no.)
2016,122,ERP_M_17,Males - 75-79 years (no.)
2017,135,ERP_M_17,Males - 75-79 years (no.)
2013,100,ERP_M_18,Males - 80-84 years (no.)
2014,92,ERP_M_18,Males - 80-84 years (no.)
2015,83,ERP_M_18,Males - 80-84 years (no.)
2016,84,ERP_M_18,Males - 80-84 years (no.)
2017,91,ERP_M_18,Males - 80-84 years (no.)
2013,84,ERP_M_19,Males - 85 and over (no.)
2014,84,ERP_M_19,Males - 85 and over (no.)
2015,88,ERP_M_19,Males - 85 and over (no.)
2016,85,ERP_M_19,Males - 85 and over (no.)
2017,94,ERP_M_19,Males - 85 and over (no.)
2013,6340,ERP_M_20,Males - Total (no.)
2014,6516,ERP_M_20,Males - Total (no.)
2015,6677,ERP_M_20,Males - Total (no.)
2016,6819,ERP_M_20,Males - Total (no.)
2017,6931,ERP_M_20,Males - Total (no.)
2013,399,ERP_F_2,Females - 0-4 years (no.)
2014,401,ERP_F_2,Females - 0-4 years (no.)
2015,388,ERP_F_2,Females - 0-4 years (no.)
2016,387,ERP_F_2,Females - 0-4 years (no.)
2017,378,ERP_F_2,Females - 0-4 years (no.)
2013,308,ERP_F_3,Females - 5-9 years (no.)
